chap_global,book_num,chapter_num,character,word,count_norm
6,1,6,iroh,compassion,0.0
6,1,6,iroh,conflict_doubt,0.0
6,1,6,iroh,duty_honor,0.0
6,1,6,iroh,identity,0.0
6,1,6,iroh,justice,0.0
6,1,6,jet,compassion,0.0
6,1,6,jet,conflict_doubt,0.0
6,1,6,jet,duty_honor,0.0
6,1,6,jet,identity,0.0
6,1,6,jet,justice,0.0
6,1,6,katara,compassion,16.34472511144131
6,1,6,katara,conflict_doubt,8.915304606240714
6,1,6,katara,duty_honor,1.4858841010401187
6,1,6,katara,identity,4.457652303120357
6,1,6,katara,justice,1.4858841010401187
6,1,6,roku,compassion,0.0
6,1,6,roku,conflict_doubt,0.0
6,1,6,roku,duty_honor,0.0
6,1,6,roku,identity,0.0
6,1,6,roku,justice,0.0
6,1,6,sokka,compassion,0.0
6,1,6,sokka,conflict_doubt,7.228915662650603
6,1,6,sokka,duty_honor,0.0
6,1,6,sokka,identity,0.0
6,1,6,sokka,justice,7.228915662650603
6,1,6,suki,compassion,0.0
6,1,6,suki,conflict_doubt,0.0
6,1,6,suki,duty_honor,0.0
6,1,6,suki,identity,0.0
6,1,6,suki,justice,0.0
6,1,6,toph,compassion,0.0
6,1,6,toph,conflict_doubt,0.0
6,1,6,toph,duty_honor,0.0
6,1,6,toph,identity,0.0
6,1,6,toph,justice,0.0
6,1,6,zhao,compassion,0.0
6,1,6,zhao,conflict_doubt,0.0
6,1,6,zhao,duty_honor,0.0
6,1,6,zhao,identity,0.0
6,1,6,zhao,justice,0.0
6,1,6,zuko,compassion,0.0
6,1,6,zuko,conflict_doubt,0.0
6,1,6,zuko,duty_honor,0.0
6,1,6,zuko,identity,0.0
6,1,6,zuko,justice,0.0
7,1,7,aang,compassion,22.146507666098806
7,1,7,aang,conflict_doubt,13.62862010221465
7,1,7,aang,duty_honor,0.0
7,1,7,aang,identity,1.7035775127768313
7,1,7,aang,justice,6.814310051107325
7,1,7,azula,compassion,0.0
7,1,7,azula,conflict_doubt,0.0
7,1,7,azula,duty_honor,0.0
7,1,7,azula,identity,0.0
7,1,7,azula,justice,0.0
7,1,7,iroh,compassion,5.681818181818182
7,1,7,iroh,conflict_doubt,11.363636363636363
7,1,7,iroh,duty_honor,0.0
7,1,7,iroh,identity,5.681818181818182
7,1,7,iroh,justice,17.045454545454543
7,1,7,jet,compassion,0.0
7,1,7,jet,conflict_doubt,0.0
7,1,7,jet,duty_honor,0.0
7,1,7,jet,identity,0.0
7,1,7,jet,justice,0.0
7,1,7,katara,compassion,7.751937984496124
7,1,7,katara,conflict_doubt,0.0
7,1,7,katara,duty_honor,0.0
7,1,7,katara,identity,0.0
7,1,7,katara,justice,3.875968992248062
7,1,7,roku,compassion,0.0
7,1,7,roku,conflict_doubt,0.0
7,1,7,roku,duty_honor,0.0
7,1,7,roku,identity,0.0
7,1,7,roku,justice,0.0
7,1,7,sokka,compassion,22.857142857142858
7,1,7,sokka,conflict_doubt,34.285714285714285
7,1,7,sokka,duty_honor,0.0
7,1,7,sokka,identity,5.714285714285714
7,1,7,sokka,justice,5.714285714285714
7,1,7,suki,compassion,0.0
7,1,7,suki,conflict_doubt,0.0
7,1,7,suki,duty_honor,0.0
7,1,7,suki,identity,0.0
7,1,7,suki,justice,0.0
7,1,7,toph,compassion,0.0
7,1,7,toph,conflict_doubt,0.0
7,1,7,toph,duty_honor,0.0
7,1,7,toph,identity,0.0
7,1,7,toph,justice,0.0
7,1,7,zhao,compassion,0.0
7,1,7,zhao,conflict_doubt,0.0
7,1,7,zhao,duty_honor,0.0
7,1,7,zhao,identity,0.0
7,1,7,zhao,justice,0.0
7,1,7,zuko,compassion,0.0
7,1,7,zuko,conflict_doubt,8.196721311475411
7,1,7,zuko,duty_honor,0.0
7,1,7,zuko,identity,0.0
7,1,7,zuko,justice,8.196721311475411
8,1,8,aang,compassion,5.154639175257732
8,1,8,aang,conflict_doubt,18.04123711340206
8,1,8,aang,duty_honor,0.0
8,1,8,aang,identity,7.731958762886598
8,1,8,aang,justice,7.731958762886598
8,1,8,azula,compassion,0.0
8,1,8,azula,conflict_doubt,0.0
8,1,8,azula,duty_honor,0.0
8,1,8,azula,identity,0.0
8,1,8,azula,justice,0.0
8,1,8,iroh,compassion,0.0
8,1,8,iroh,conflict_doubt,16.260162601626018
8,1,8,iroh,duty_honor,0.0
8,1,8,iroh,identity,0.0
8,1,8,iroh,justice,0.0
8,1,8,jet,compassion,0.0
8,1,8,jet,conflict_doubt,0.0
8,1,8,jet,duty_honor,0.0
8,1,8,jet,identity,0.0
8,1,8,jet,justice,0.0
8,1,8,katara,compassion,0.0
8,1,8,katara,conflict_doubt,17.75147928994083
8,1,8,katara,duty_honor,0.0
8,1,8,katara,identity,5.9171597633136095
8,1,8,katara,justice,5.9171597633136095
8,1,8,roku,compassion,4.545454545454545
8,1,8,roku,conflict_doubt,4.545454545454545
8,1,8,roku,duty_honor,0.0
8,1,8,roku,identity,4.545454545454545
8,1,8,roku,justice,0.0
8,1,8,sokka,compassion,5.952380952380952
8,1,8,sokka,conflict_doubt,5.952380952380952
8,1,8,sokka,duty_honor,0.0
8,1,8,sokka,identity,0.0
8,1,8,sokka,justice,0.0
8,1,8,suki,compassion,0.0
8,1,8,suki,conflict_doubt,0.0
8,1,8,suki,duty_honor,0.0
8,1,8,suki,identity,0.0
8,1,8,suki,justice,0.0
8,1,8,toph,compassion,0.0
8,1,8,toph,conflict_doubt,0.0
8,1,8,toph,duty_honor,0.0
8,1,8,toph,identity,0.0
8,1,8,toph,justice,0.0
8,1,8,zhao,compassion,13.245033112582782
8,1,8,zhao,conflict_doubt,0.0
8,1,8,zhao,duty_honor,0.0
8,1,8,zhao,identity,6.622516556291391
8,1,8,zhao,justice,6.622516556291391
8,1,8,zuko,compassion,22.058823529411764
8,1,8,zuko,conflict_doubt,7.352941176470588
8,1,8,zuko,duty_honor,0.0
8,1,8,zuko,identity,7.352941176470588
8,1,8,zuko,justice,0.0
9,1,9,aang,compassion,5.714285714285714
9,1,9,aang,conflict_doubt,5.714285714285714
9,1,9,aang,duty_honor,0.0
9,1,9,aang,identity,0.0
9,1,9,aang,justice,8.571428571428571
9,1,9,azula,compassion,0.0
9,1,9,azula,conflict_doubt,0.0
9,1,9,azula,duty_honor,0.0
9,1,9,azula,identity,0.0
9,1,9,azula,justice,0.0
9,1,9,iroh,compassion,0.0
9,1,9,iroh,conflict_doubt,13.636363636363635
9,1,9,iroh,duty_honor,0.0
9,1,9,iroh,identity,0.0
9,1,9,iroh,justice,0.0
9,1,9,jet,compassion,0.0
9,1,9,jet,conflict_doubt,0.0
9,1,9,jet,duty_honor,0.0
9,1,9,jet,identity,0.0
9,1,9,jet,justice,0.0
9,1,9,katara,compassion,13.536379018612521
9,1,9,katara,conflict_doubt,8.460236886632826
9,1,9,katara,duty_honor,0.0
9,1,9,katara,identity,1.6920473773265652
9,1,9,katara,justice,6.768189509306261
9,1,9,roku,compassion,0.0
9,1,9,roku,conflict_doubt,0.0
9,1,9,roku,duty_honor,0.0
9,1,9,roku,identity,0.0
9,1,9,roku,justice,0.0
9,1,9,sokka,compassion,6.993006993006993
9,1,9,sokka,conflict_doubt,6.993006993006993
9,1,9,sokka,duty_honor,0.0
9,1,9,sokka,identity,2.331002331002331
9,1,9,sokka,justice,0.0
9,1,9,suki,compassion,0.0
9,1,9,suki,conflict_doubt,0.0
9,1,9,suki,duty_honor,0.0
9,1,9,suki,identity,0.0
9,1,9,suki,justice,0.0
9,1,9,toph,compassion,0.0
9,1,9,toph,conflict_doubt,0.0
9,1,9,toph,duty_honor,0.0
9,1,9,toph,identity,0.0
9,1,9,toph,justice,0.0
9,1,9,zhao,compassion,0.0
9,1,9,zhao,conflict_doubt,0.0
9,1,9,zhao,duty_honor,0.0
9,1,9,zhao,identity,0.0
9,1,9,zhao,justice,0.0
9,1,9,zuko,compassion,13.333333333333334
9,1,9,zuko,conflict_doubt,8.88888888888889
9,1,9,zuko,duty_honor,4.444444444444445
9,1,9,zuko,identity,8.88888888888889
9,1,9,zuko,justice,4.444444444444445
10,1,10,aang,compassion,3.968253968253968
10,1,10,aang,conflict_doubt,0.0
10,1,10,aang,duty_honor,0.0
10,1,10,aang,identity,7.936507936507936
10,1,10,aang,justice,15.873015873015872
10,1,10,azula,compassion,0.0
10,1,10,azula,conflict_doubt,0.0
10,1,10,azula,duty_honor,0.0
10,1,10,azula,identity,0.0
10,1,10,azula,justice,0.0
10,1,10,iroh,compassion,0.0
10,1,10,iroh,conflict_doubt,0.0
10,1,10,iroh,duty_honor,0.0
10,1,10,iroh,identity,0.0
10,1,10,iroh,justice,0.0
10,1,10,jet,compassion,10.526315789473683
10,1,10,jet,conflict_doubt,10.526315789473683
10,1,10,jet,duty_honor,0.0
10,1,10,jet,identity,2.3391812865497075
10,1,10,jet,justice,7.017543859649123
10,1,10,katara,compassion,9.501187648456057
10,1,10,katara,conflict_doubt,14.251781472684087
10,1,10,katara,duty_honor,0.0
10,1,10,katara,identity,0.0
10,1,10,katara,justice,0.0
10,1,10,roku,compassion,0.0
10,1,10,roku,conflict_doubt,0.0
10,1,10,roku,duty_honor,0.0
10,1,10,roku,identity,0.0
10,1,10,roku,justice,0.0
10,1,10,sokka,compassion,13.333333333333334
10,1,10,sokka,conflict_doubt,7.619047619047619
10,1,10,sokka,duty_honor,0.0
10,1,10,sokka,identity,3.8095238095238093
10,1,10,sokka,justice,7.619047619047619
10,1,10,suki,compassion,0.0
10,1,10,suki,conflict_doubt,0.0
10,1,10,suki,duty_honor,0.0
10,1,10,suki,identity,0.0
10,1,10,suki,justice,0.0
10,1,10,toph,compassion,0.0
10,1,10,toph,conflict_doubt,0.0
10,1,10,toph,duty_honor,0.0
10,1,10,toph,identity,0.0
10,1,10,toph,justice,0.0
10,1,10,zhao,compassion,0.0
10,1,10,zhao,conflict_doubt,0.0
10,1,10,zhao,duty_honor,0.0
10,1,10,zhao,identity,0.0
10,1,10,zhao,justice,0.0
10,1,10,zuko,compassion,0.0
10,1,10,zuko,conflict_doubt,0.0
10,1,10,zuko,duty_honor,0.0
10,1,10,zuko,identity,0.0
10,1,10,zuko,justice,0.0
11,1,11,aang,compassion,13.003901170351105
11,1,11,aang,conflict_doubt,5.201560468140443
11,1,11,aang,duty_honor,2.6007802340702213
11,1,11,aang,identity,1.3003901170351106
11,1,11,aang,justice,2.6007802340702213
11,1,11,azula,compassion,0.0
11,1,11,azula,conflict_doubt,0.0
11,1,11,azula,duty_honor,0.0
11,1,11,azula,identity,0.0
11,1,11,azula,justice,0.0
11,1,11,iroh,compassion,0.0
11,1,11,iroh,conflict_doubt,0.0
11,1,11,iroh,duty_honor,0.0
11,1,11,iroh,identity,0.0
11,1,11,iroh,justice,0.0
11,1,11,jet,compassion,0.0
11,1,11,jet,conflict_doubt,0.0
11,1,11,jet,duty_honor,0.0
11,1,11,jet,identity,0.0
11,1,11,jet,justice,0.0
11,1,11,katara,compassion,4.081632653061225
11,1,11,katara,conflict_doubt,4.081632653061225
11,1,11,katara,duty_honor,0.0
11,1,11,katara,identity,0.0
11,1,11,katara,justice,4.081632653061225
11,1,11,roku,compassion,0.0
11,1,11,roku,conflict_doubt,0.0
11,1,11,roku,duty_honor,0.0
11,1,11,roku,identity,0.0
11,1,11,roku,justice,0.0
11,1,11,sokka,compassion,12.048192771084338
11,1,11,sokka,conflict_doubt,4.016064257028112
11,1,11,sokka,duty_honor,0.0
11,1,11,sokka,identity,0.0
11,1,11,sokka,justice,8.032128514056224
11,1,11,suki,compassion,0.0
11,1,11,suki,conflict_doubt,0.0
11,1,11,suki,duty_honor,0.0
11,1,11,suki,identity,0.0
11,1,11,suki,justice,0.0
11,1,11,toph,compassion,0.0
11,1,11,toph,conflict_doubt,0.0
11,1,11,toph,duty_honor,0.0
11,1,11,toph,identity,0.0
11,1,11,toph,justice,0.0
11,1,11,zhao,compassion,0.0
11,1,11,zhao,conflict_doubt,0.0
11,1,11,zhao,duty_honor,0.0
11,1,11,zhao,identity,0.0
11,1,11,zhao,justice,0.0
11,1,11,zuko,compassion,0.0
11,1,11,zuko,conflict_doubt,0.0
11,1,11,zuko,duty_honor,0.0
11,1,11,zuko,identity,0.0
11,1,11,zuko,justice,0.0
12,1,12,aang,compassion,9.30232558139535
12,1,12,aang,conflict_doubt,16.27906976744186
12,1,12,aang,duty_honor,0.0
12,1,12,aang,identity,2.3255813953488373
12,1,12,aang,justice,4.651162790697675
12,1,12,azula,compassion,0.0
12,1,12,azula,conflict_doubt,0.0
12,1,12,azula,duty_honor,0.0
12,1,12,azula,identity,0.0
12,1,12,azula,justice,0.0
12,1,12,iroh,compassion,8.547008547008549
12,1,12,iroh,conflict_doubt,0.0
12,1,12,iroh,duty_honor,2.849002849002849
12,1,12,iroh,identity,0.0
12,1,12,iroh,justice,11.396011396011396
12,1,12,jet,compassion,0.0
12,1,12,jet,conflict_doubt,0.0
12,1,12,jet,duty_honor,0.0
12,1,12,jet,identity,0.0
12,1,12,jet,justice,0.0
12,1,12,katara,compassion,10.309278350515465
12,1,12,katara,conflict_doubt,6.8728522336769755
12,1,12,katara,duty_honor,0.0
12,1,12,katara,identity,10.309278350515465
12,1,12,katara,justice,17.182130584192443
12,1,12,roku,compassion,0.0
12,1,12,roku,conflict_doubt,0.0
12,1,12,roku,duty_honor,0.0
12,1,12,roku,identity,0.0
12,1,12,roku,justice,0.0
12,1,12,sokka,compassion,0.0
12,1,12,sokka,conflict_doubt,13.986013986013987
12,1,12,sokka,duty_honor,0.0
12,1,12,sokka,identity,0.0
12,1,12,sokka,justice,6.993006993006993
12,1,12,suki,compassion,0.0
12,1,12,suki,conflict_doubt,0.0
12,1,12,suki,duty_honor,0.0
12,1,12,suki,identity,0.0
12,1,12,suki,justice,0.0
12,1,12,toph,compassion,0.0
12,1,12,toph,conflict_doubt,0.0
12,1,12,toph,duty_honor,0.0
12,1,12,toph,identity,0.0
12,1,12,toph,justice,0.0
12,1,12,zhao,compassion,0.0
12,1,12,zhao,conflict_doubt,0.0
12,1,12,zhao,duty_honor,0.0
12,1,12,zhao,identity,0.0
12,1,12,zhao,justice,0.0
12,1,12,zuko,compassion,21.978021978021978
12,1,12,zuko,conflict_doubt,0.0
12,1,12,zuko,duty_honor,0.0
12,1,12,zuko,identity,0.0
12,1,12,zuko,justice,0.0
13,1,13,aang,compassion,11.76470588235294
13,1,13,aang,conflict_doubt,2.941176470588235
13,1,13,aang,duty_honor,0.0
13,1,13,aang,identity,0.0
13,1,13,aang,justice,2.941176470588235
13,1,13,azula,compassion,0.0
13,1,13,azula,conflict_doubt,0.0
13,1,13,azula,duty_honor,0.0
13,1,13,azula,identity,0.0
13,1,13,azula,justice,0.0
13,1,13,iroh,compassion,12.658227848101266
13,1,13,iroh,conflict_doubt,0.0
13,1,13,iroh,duty_honor,0.0
13,1,13,iroh,identity,0.0
13,1,13,iroh,justice,0.0
13,1,13,jet,compassion,0.0
13,1,13,jet,conflict_doubt,0.0
13,1,13,jet,duty_honor,0.0
13,1,13,jet,identity,0.0
13,1,13,jet,justice,0.0
13,1,13,katara,compassion,0.0
13,1,13,katara,conflict_doubt,17.391304347826086
13,1,13,katara,duty_honor,0.0
13,1,13,katara,identity,0.0
13,1,13,katara,justice,0.0
13,1,13,roku,compassion,0.0
13,1,13,roku,conflict_doubt,0.0
13,1,13,roku,duty_honor,0.0
13,1,13,roku,identity,0.0
13,1,13,roku,justice,0.0
13,1,13,sokka,compassion,0.0
13,1,13,sokka,conflict_doubt,0.0
13,1,13,sokka,duty_honor,0.0
13,1,13,sokka,identity,0.0
13,1,13,sokka,justice,0.0
13,1,13,suki,compassion,0.0
13,1,13,suki,conflict_doubt,0.0
13,1,13,suki,duty_honor,0.0
13,1,13,suki,identity,0.0
